t_monotonic,t_wall,gpu_name,power_W,util_pct,memory_MiB,error
3844.875772238,1777948405.1564524,NVIDIA A100-SXM4-40GB,51.2,4.0,30772.0,
3845.104145081,1777948405.384825,NVIDIA A100-SXM4-40GB,51.15,4.0,30772.0,
3845.333489733,1777948405.6141698,NVIDIA A100-SXM4-40GB,51.2,4.0,30772.0,
3845.561028547,1777948405.8417087,NVIDIA A100-SXM4-40GB,51.15,3.0,30772.0,
3845.788921204,1777948406.0696018,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3846.016868432,1777948406.2975488,NVIDIA A100-SXM4-40GB,51.15,3.0,30772.0,
3846.244631266,1777948406.5253115,NVIDIA A100-SXM4-40GB,51.2,4.0,30772.0,
3846.473629505,1777948406.7543097,NVIDIA A100-SXM4-40GB,51.15,4.0,30772.0,
3846.701582641,1777948406.9822628,NVIDIA A100-SXM4-40GB,51.15,3.0,30772.0,
3846.929838379,1777948407.2105186,NVIDIA A100-SXM4-40GB,51.47,3.0,30772.0,
3847.15872763,1777948407.4394076,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3847.386022764,1777948407.6667027,NVIDIA A100-SXM4-40GB,51.42,4.0,30772.0,
3847.612897358,1777948407.8935776,NVIDIA A100-SXM4-40GB,51.15,4.0,30772.0,
3847.840824182,1777948408.1215043,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3848.067908619,1777948408.3485887,NVIDIA A100-SXM4-40GB,51.15,4.0,30772.0,
3848.294565134,1777948408.5752456,NVIDIA A100-SXM4-40GB,51.47,4.0,30772.0,
3848.522530301,1777948408.8032103,NVIDIA A100-SXM4-40GB,51.15,4.0,30772.0,
3848.751903363,1777948409.0325837,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3848.980138816,1777948409.260819,NVIDIA A100-SXM4-40GB,51.15,3.0,30772.0,
3849.207901426,1777948409.4885817,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3849.434948253,1777948409.7156286,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3849.662855056,1777948409.943535,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3849.890439238,1777948410.1711195,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3850.117914748,1777948410.3985949,NVIDIA A100-SXM4-40GB,51.15,3.0,30772.0,
3850.345034562,1777948410.6257148,NVIDIA A100-SXM4-40GB,51.74,3.0,30772.0,
3850.573140235,1777948410.8538203,NVIDIA A100-SXM4-40GB,51.15,4.0,30772.0,
3850.800790428,1777948411.0814707,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
